"vehicle_make_name","Frequency","sas_yr_of_crsh","sas_mnth_of_crsh"
"International Harvester/Navistar","74","2015","Oct"
"International Harvester/Navistar","82","2015","Nov"
"International Harvester/Navistar","71","2015","Dec"
"International Harvester/Navistar","52","2016","Jan"
"International Harvester/Navistar","50","2016","Feb"
"International Harvester/Navistar","40","2016","Mar"
"International Harvester/Navistar","63","2016","Apr"
"International Harvester/Navistar","45","2016","May"
"International Harvester/Navistar","72","2016","Jun"
"International Harvester/Navistar","57","2016","Jul"
"International Harvester/Navistar","125","2016","Aug"
"International Harvester/Navistar","81","2016","Sep"
"International Harvester/Navistar","79","2016","Oct"
"International Harvester/Navistar","59","2016","Nov"
"International Harvester/Navistar","65","2016","Dec"
"Isuzu","16","2015","Jan"
"Isuzu","20","2015","Feb"
"Isuzu","20","2015","Mar"
"Isuzu","28","2015","Apr"
"Isuzu","9","2015","May"
"Isuzu","16","2015","Jun"
"Isuzu","15","2015","Jul"
"Isuzu","12","2015","Aug"
"Isuzu","17","2015","Sep"
"Isuzu","14","2015","Oct"
"Isuzu","9","2015","Nov"
"Isuzu","15","2015","Dec"
"Isuzu","13","2016","Jan"
"Isuzu","11","2016","Feb"
"Isuzu","11","2016","Mar"
"Isuzu","20","2016","Apr"
"Isuzu","19","2016","May"
"Isuzu","10","2016","Jun"
"Isuzu","17","2016","Jul"
"Isuzu","30","2016","Aug"
"Isuzu","15","2016","Sep"
"Isuzu","22","2016","Oct"
"Isuzu","14","2016","Nov"
"Isuzu","16","2016","Dec"
"Jaguar","1","2015","Jan"
"Jaguar","1","2015","Feb"
"Jaguar","7","2015","Mar"
"Jaguar","3","2015","Apr"
"Jaguar","14","2015","May"
"Jaguar","7","2015","Jun"
"Jaguar","3","2015","Jul"
"Jaguar","6","2015","Aug"
"Jaguar","2","2015","Sep"
"Jaguar","9","2015","Oct"
"Jaguar","5","2015","Nov"
"Jaguar","3","2015","Dec"
"Jaguar","9","2016","Jan"
"Jaguar","9","2016","Feb"
"Jaguar","10","2016","Mar"
"Jaguar","6","2016","Apr"
"Jaguar","9","2016","May"
